movieId,cinemaId,showingTime
39,8,1634898600
28,8,1634918400
60,8,1634922900
23,8,1634937600
32,8,1634979600
52,8,1634985000
41,8,1635004800
85,8,1635009300
38,8,1635024000
71,8,1635066000
32,8,1635071400
45,8,1635091200
33,8,1635095700
18,8,1635110400
36,8,1635152400
46,8,1635157800
69,8,1635177600
52,8,1635182100
31,8,1635196800
